,State,County,Median AQI,FIPS
727,Pennsylvania,Greene,44,42059
728,Pennsylvania,Indiana,41,42063
729,Pennsylvania,Lackawanna,44,42069
730,Pennsylvania,Lancaster,58,42071
731,Pennsylvania,Lawrence,34,42073
732,Pennsylvania,Lebanon,47,42075
733,Pennsylvania,Lehigh,43,42077
734,Pennsylvania,Lycoming,38,42081
735,Pennsylvania,Mercer,44,42085
736,Pennsylvania,Monroe,34,42089
737,Pennsylvania,Montgomery,44,42091
738,Pennsylvania,Northampton,46,42095
739,Pennsylvania,Philadelphia,58,42101
740,Pennsylvania,Somerset,35,42111
741,Pennsylvania,Susquehanna,28,42115
742,Pennsylvania,Tioga,41,42117
743,Pennsylvania,Washington,51,42125
744,Pennsylvania,Westmoreland,42,42129
745,Pennsylvania,Wyoming,27,42131
746,Pennsylvania,York,48,42133
747,Puerto Rico,Bayamon,22,72021
748,Puerto Rico,Caguas,6,72025
749,Puerto Rico,Catano,52,72033
750,Puerto Rico,Fajardo,30,72053
751,Puerto Rico,Guayama,15,72057
752,Puerto Rico,Guaynabo,32,72061
753,Puerto Rico,Mayagnez,25,
754,Puerto Rico,Ponce,30,72113
755,Rhode Island,Kent,40,44003
756,Rhode Island,Providence,46,44007
757,Rhode Island,Washington,40,44009
758,South Carolina,Aiken,39,45003
759,South Carolina,Anderson,42,45007
760,South Carolina,Berkeley,36,45015
761,South Carolina,Charleston,47,45019
762,South Carolina,Chesterfield,42,45025
763,South Carolina,Darlington,40,45031
764,South Carolina,Edgefield,44,45037
765,South Carolina,Florence,49,45041
766,South Carolina,Greenville,52,45045
767,South Carolina,Horry,43,45051
768,South Carolina,Lexington,41,45063
769,South Carolina,Richland,47,45079
770,South Carolina,Spartanburg,51,45083
771,South Carolina,York,47,45091
772,South Dakota,Brookings,42,46011
773,South Dakota,Brown,29,46013
774,South Dakota,Clay,43,46027
775,South Dakota,Codington,45,46029
776,South Dakota,Custer,43,46033
777,South Dakota,Hughes,14,46065
778,South Dakota,Jackson,43,46071
779,South Dakota,Meade,43,46093
780,South Dakota,Minnehaha,44,46099
781,South Dakota,Pennington,45,46103
782,Tennessee,Anderson,41,47001
783,Tennessee,Blount,46,47009
784,Tennessee,Claiborne,38,47025
785,Tennessee,Davidson,53,47037
786,Tennessee,DeKalb,37,47041
787,Tennessee,Dyer,39,47045
788,Tennessee,Hamilton,51,47065
789,Tennessee,Jefferson,42,47089
790,Tennessee,Knox,52,47093
791,Tennessee,Lawrence,41,47099
792,Tennessee,Loudon,42,47105
793,Tennessee,Madison,43,47113
794,Tennessee,Maury,36,47119
795,Tennessee,McMinn,39,47107
796,Tennessee,Montgomery,36,47125
797,Tennessee,Putnam,38,47141
