,State,County,Median AQI,FIPS,Income
277,Indiana,St. Joseph,51,18141.0,56895
278,Indiana,Tippecanoe,42,18157.0,50492
279,Indiana,Vanderburgh,52,18163.0,59500
280,Indiana,Vigo,51,18167.0,48802
281,Indiana,Wabash,36,18169.0,56584
282,Indiana,Warrick,38,18173.0,71369
283,Indiana,Whitley,48,18183.0,57565
284,Iowa,Black Hawk,53,19013.0,55529
285,Iowa,Bremer,42,19017.0,61420
286,Iowa,Cerro Gordo,19,19033.0,79493
287,Iowa,Clinton,54,19045.0,53442
288,Iowa,Harrison,44,19085.0,59741
289,Iowa,Johnson,53,19103.0,63487
290,Iowa,Lee,47,19111.0,52269
291,Iowa,Linn,54,19113.0,63407
292,Iowa,Montgomery,44,19137.0,50995
293,Iowa,Muscatine,49,19139.0,57595
294,Iowa,Palo Alto,46,19147.0,59206
295,Iowa,Polk,52,19153.0,66761
296,Iowa,Pottawattamie,49,19155.0,58306
297,Iowa,Scott,53,19163.0,66748
298,Iowa,Van Buren,46,19177.0,48677
299,Iowa,Woodbury,43,19193.0,53685
300,Kansas,Chase,29,20017.0,66523
301,Kansas,Ford,15,20057.0,48219
302,Kansas,Johnson,49,20091.0,102693
303,Kansas,Leavenworth,37,20103.0,53757
304,Kansas,Neosho,54,20133.0,50698
305,Kansas,Sedgwick,48,20173.0,61462
306,Kansas,Shawnee,48,20177.0,58412
307,Kansas,Sherman,19,20181.0,57304
308,Kansas,Sumner,51,20191.0,51274
309,Kansas,Trego,47,20195.0,70367
310,Kansas,Wyandotte,51,20209.0,41273
311,Kentucky,Bell,49,21013.0,42353
312,Kentucky,Boone,44,21015.0,62066
313,Kentucky,Boyd,46,21019.0,49074
314,Kentucky,Bullitt,44,21029.0,54121
315,Kentucky,Campbell,44,21037.0,66222
316,Kentucky,Carter,40,21043.0,40853
317,Kentucky,Christian,47,21047.0,46804
318,Kentucky,Daviess,51,21059.0,52446
319,Kentucky,Edmonson,39,21061.0,41551
320,Kentucky,Fayette,45,21067.0,65766
321,Kentucky,Greenup,39,21089.0,50917
322,Kentucky,Hancock,42,21091.0,64129
323,Kentucky,Hardin,45,21093.0,56117
324,Kentucky,Jefferson,55,21111.0,67663
325,Kentucky,Jessamine,43,21113.0,61703
326,Kentucky,Livingston,42,21139.0,49169
