"Table 1. Per Capita Personal Income, by County, 2021–2023",,,,,,,
,Per capita personal income1,,,,Percent change from preceding period,,
,Dollars,,,Rank in state,Percent change,,Rank in state
Gadsden,"44,798","44,754","47,181",40,-0.1,5.4,47
Gilchrist,"42,808","42,433","45,053",46,-0.9,6.2,39
Glades,"32,332","31,599","32,897",66,-2.3,4.1,64
Gulf,"49,772","48,352","50,687",36,-2.9,4.8,53
Hamilton,"34,754","35,250","37,368",60,1.4,6.0,43
Hardee,"35,785","35,063","36,871",61,-2.0,5.2,49
Hendry,"40,915","39,980","41,164",55,-2.3,3.0,67
Hernando,"46,617","46,269","49,176",37,-0.7,6.3,37
Highlands,"41,497","41,476","44,177",50,-0.1,6.5,28
Hillsborough,"57,592","59,898","63,640",17,4.0,6.2,38
Holmes,"38,548","38,687","41,258",54,0.4,6.6,24
Indian River,"96,551","97,627","105,827",5,1.1,8.4,4
Jackson,"40,268","39,016","40,972",56,-3.1,5.0,52
Jefferson,"51,618","48,296","52,094",35,-6.4,7.9,8
Lafayette,"32,558","34,524","35,986",62,6.0,4.2,62
Lake,"50,743","52,042","55,387",31,2.6,6.4,31
Lee,"61,275","61,510","65,878",14,0.4,7.1,15
Leon,"53,107","53,362","57,139",24,0.5,7.1,17
Levy,"44,348","44,480","47,517",39,0.3,6.8,19
Liberty,"35,274","33,021","35,661",64,-6.4,8.0,5
Madison,"39,950","42,146","44,697",47,5.5,6.1,42
Manatee,"57,948","60,275","64,096",15,4.0,6.3,35
Marion,"44,712","44,355","46,682",43,-0.8,5.2,48
Martin,"100,752","105,520","114,799",4,4.7,8.8,3
Miami-Dade,"65,052","70,497","75,182",10,8.4,6.6,25
Monroe,"105,768","118,434","130,525",2,12.0,10.2,1
Nassau,"72,314","74,845","79,701",9,3.5,6.5,30
Okaloosa,"58,909","59,475","62,236",19,1.0,4.6,55
Okeechobee,"39,520","40,244","42,702",52,1.8,6.1,41
Orange,"54,435","56,596","59,767",21,4.0,5.6,46
Osceola,"44,178","44,905","47,824",38,1.6,6.5,29
Palm Beach,"100,792","108,679","117,322",3,7.8,8.0,7
Pasco,"51,382","53,011","56,734",25,3.2,7.0,18
Pinellas,"65,465","67,409","71,904",11,3.0,6.7,23
Polk,"43,780","43,103","44,430",48,-1.5,3.1,66
Putnam,"39,785","40,205","41,712",53,1.1,3.7,65
St. Johns,"81,648","83,985","89,347",7,2.9,6.4,33
St. Lucie,"50,510","50,996","54,842",33,1.0,7.5,11
