"Table 1. Per Capita Personal Income, by County, 2021–2023",,,,,,,
,Per capita personal income1,,,,Percent change from preceding period,,
,Dollars,,,Rank in state,Percent change,,Rank in state
Aitkin,"50,679","48,988","51,695",83,-3.3,5.5,4
Anoka,"59,224","60,475","62,935",31,2.1,4.1,24
Becker,"56,646","57,543","60,360",45,1.6,4.9,10
Beltrami,"51,259","51,096","53,382",80,-0.3,4.5,18
Benton,"53,727","54,786","56,137",67,2.0,2.5,40
Big Stone,"66,269","69,691","66,381",19,5.2,-4.7,72
Blue Earth,"52,600","53,944","55,016",74,2.6,2.0,45
Brown,"62,731","62,888","64,232",25,0.3,2.1,43
Carlton,"50,181","50,718","52,392",82,1.1,3.3,32
Carver,"83,389","88,416","93,242",2,6.0,5.5,7
Cass,"58,091","55,263","57,880",57,-4.9,4.7,15
Chippewa,"54,373","56,746","56,174",66,4.4,-1.0,60
Chisago,"58,126","59,718","62,286",34,2.7,4.3,23
Clay,"51,042","52,826","53,925",77,3.5,2.1,44
Clearwater,"55,724","52,584","54,531",76,-5.6,3.7,27
Cook,"59,118","59,682","65,513",22,1.0,9.8,1
Cottonwood,"58,998","63,522","59,882",50,7.7,-5.7,78
Crow Wing,"55,059","54,288","56,919",62,-1.4,4.8,12
Dakota,"68,118","71,825","75,019",7,5.4,4.4,19
Dodge,"58,592","59,882","60,718",43,2.2,1.4,51
Douglas,"61,686","63,755","65,827",21,3.4,3.2,33
Faribault,"54,452","57,441","55,356",72,5.5,-3.6,70
Fillmore,"54,454","55,917","56,844",63,2.7,1.7,48
Freeborn,"54,489","55,432","56,100",68,1.7,1.2,52
Goodhue,"61,436","64,091","65,921",20,4.3,2.9,37
Grant,"58,331","63,623","58,301",55,9.1,-8.4,82
Hennepin,"87,334","91,394","95,574",1,4.6,4.6,17
Houston,"58,731","61,501","63,545",29,4.7,3.3,31
Hubbard,"60,337","54,831","57,515",61,-9.1,4.9,11
Isanti,"52,387","53,032","55,537",71,1.2,4.7,16
Itasca,"52,777","52,461","54,574",75,-0.6,4.0,25
Jackson,"62,623","64,625","61,129",41,3.2,-5.4,75
Kanabec,"51,807","50,207","51,455",84,-3.1,2.5,39
Kandiyohi,"58,331","60,970","61,664",38,4.5,1.1,54
Kittson,"67,243","71,331","64,925",24,6.1,-9.0,83
Koochiching,"50,798","53,118","55,115",73,4.6,3.8,26
Lac qui Parle,"64,616","70,511","66,536",18,9.1,-5.6,77
Lake,"53,892","54,668","57,668",60,1.4,5.5,5
Lake of the Woods,"60,525","60,115","64,010",26,-0.7,6.5,2
Le Sueur,"60,043","61,581","63,719",28,2.6,3.5,28
Lincoln,"57,745","63,200","60,182",46,9.4,-4.8,73
Lyon,"58,785","61,858","61,228",40,5.2,-1.0,61
McLeod,"57,410","59,748","61,496",39,4.1,2.9,35
Mahnomen,"48,480","49,659","48,138",86,2.4,-3.1,68
Marshall,"73,267","79,648","72,481",9,8.7,-9.0,85
Martin,"62,121","64,817","60,933",42,4.3,-6.0,79
Meeker,"53,276","55,954","56,379",65,5.0,0.8,55
Mille Lacs,"51,618","51,122","53,553",79,-1.0,4.8,14
Morrison,"51,042","53,322","53,069",81,4.5,-0.5,59
Mower,"54,948","55,260","56,722",64,0.6,2.6,38
Murray,"64,368","71,666","67,663",16,11.3,-5.6,76
Nicollet,"56,937","59,395","60,524",44,4.3,1.9,47
Nobles,"54,936","59,894","57,743",58,9.0,-3.6,69
Norman,"59,901","62,035","53,560",78,3.6,-13.7,87
Olmsted,"66,191","68,543","71,904",11,3.6,4.9,9
Otter Tail,"56,504","58,125","59,478",52,2.9,2.3,41
Pennington,"71,064","67,174","68,190",15,-5.5,1.5,50
Pine,"45,799","45,247","46,122",87,-1.2,1.9,46
Pipestone,"64,666","71,416","69,853",12,10.4,-2.2,67
Polk,"59,456","61,324","60,175",47,3.1,-1.9,65
Pope,"64,160","64,102","63,885",27,-0.1,-0.3,58
Ramsey,"64,217","66,416","69,310",14,3.4,4.4,21
Red Lake,"68,882","72,843","67,464",17,5.8,-7.4,81
Redwood,"71,023","76,039","76,945",6,7.1,1.2,53
Renville,"63,249","67,051","62,855",32,6.0,-6.3,80
Rice,"53,012","53,861","55,702",70,1.6,3.4,29
Rock,"58,351","65,026","61,899",36,11.4,-4.8,74
Roseau,"61,114","61,874","61,800",37,1.2,-0.1,57
St. Louis,"55,878","56,784","59,235",53,1.6,4.3,22
Scott,"72,190","77,009","81,213",5,6.7,5.5,6
Sherburne,"56,184","57,148","59,643",51,1.7,4.4,20
Sibley,"58,374","61,093","60,166",48,4.7,-1.5,63
Stearns,"58,804","60,989","63,053",30,3.7,3.4,30
Steele,"55,861","56,395","58,222",56,1.0,3.2,34
Stevens,"61,080","65,261","57,718",59,6.8,-11.6,86
Swift,"59,979","70,737","69,348",13,17.9,-2.0,66
Todd,"55,544","59,131","62,276",35,6.5,5.3,8
Traverse,"76,840","91,098","82,905",4,18.6,-9.0,84
Wabasha,"59,947","61,053","62,412",33,1.8,2.2,42
Wadena,"47,650","48,227","49,621",85,1.2,2.9,36
Waseca,"54,229","59,835","60,130",49,10.3,0.5,56
Washington,"76,885","79,494","84,018",3,3.4,5.7,3
Watonwan,"55,954","58,251","55,976",69,4.1,-3.9,71
Wilkin,"68,418","75,771","74,577",8,10.7,-1.6,64
Winona,"57,991","57,442","58,318",54,-0.9,1.5,49
Wright,"60,727","62,263","65,241",23,2.5,4.8,13
Yellow Medicine,"65,712","72,957","71,912",10,11.0,-1.4,62
,,,,,,,
Mississippi,"46,869","47,134","49,652",--,0.6,5.3,--
Adams,"46,018","43,763","45,973",36,-4.9,5.0,44
Alcorn,"44,564","44,838","47,651",25,0.6,6.3,19
Amite,"38,849","39,677","42,205",62,2.1,6.4,15
Attala,"43,268","40,948","42,656",56,-5.4,4.2,61
Benton,"42,696","41,656","45,081",41,-2.4,8.2,3
Bolivar,"48,333","47,141","51,015",13,-2.5,8.2,4
Calhoun,"43,094","40,976","42,728",55,-4.9,4.3,60
Carroll,"45,568","43,280","45,400",40,-5.0,4.9,48
Chickasaw,"42,560","39,303","39,952",70,-7.7,1.7,73
Choctaw,"41,521","40,350","42,655",57,-2.8,5.7,34
Claiborne,"37,863","36,563","38,756",78,-3.4,6.0,25
Clarke,"43,336","43,977","46,428",32,1.5,5.6,37
Clay,"48,828","48,588","51,599",9,-0.5,6.2,20
Coahoma,"46,198","45,494","47,742",23,-1.5,4.9,47
Copiah,"39,747","40,099","42,003",63,0.9,4.7,50
Covington,"44,498","47,546","47,970",21,6.8,0.9,77
DeSoto,"52,130","53,228","56,470",4,2.1,6.1,24
Forrest,"44,064","43,111","45,405",39,-2.2,5.3,40
Franklin,"41,053","40,858","42,359",59,-0.5,3.7,63
George,"39,825","39,624","41,804",65,-0.5,5.5,38
Greene,"33,505","33,883","34,362",82,1.1,1.4,75
Grenada,"43,450","42,405","44,304",46,-2.4,4.5,54
Hancock,"45,007","45,554","48,425",18,1.2,6.3,17
Harrison,"46,491","45,966","48,902",16,-1.1,6.4,14
Hinds,"47,455","48,559","51,350",10,2.3,5.7,32
Holmes,"37,311","35,690","38,193",80,-4.3,7.0,8
Humphreys,"43,856","41,320","43,876",49,-5.8,6.2,22
Issaquena,"37,134","33,862","36,046",81,-8.8,6.4,12
Itawamba,"41,930","41,166","42,737",54,-1.8,3.8,62
Jackson,"45,976","45,432","48,028",20,-1.2,5.7,33
Jasper,"45,460","47,049","45,999",35,3.5,-2.2,81
Jefferson,"39,827","39,648","41,876",64,-0.4,5.6,36
Jefferson Davis,"36,895","37,986","40,428",69,3.0,6.4,13
Jones,"44,858","48,221","49,765",15,7.5,3.2,66
Kemper,"38,601","37,428","39,625",71,-3.0,5.9,29
Lafayette,"49,445","49,944","52,791",6,1.0,5.7,35
Lamar,"48,416","49,684","51,997",8,2.6,4.7,51
Lauderdale,"47,312","47,519","50,952",14,0.4,7.2,7
Lawrence,"43,288","44,957","45,871",38,3.9,2.0,71
Leake,"40,423","42,401","41,066",67,4.9,-3.1,82
Lee,"52,704","52,029","54,255",5,-1.3,4.3,59
Leflore,"50,269","49,155","51,319",11,-2.2,4.4,55
Lincoln,"44,550","45,492","47,781",22,2.1,5.0,45
Lowndes,"47,971","48,298","51,172",12,0.7,6.0,27
Madison,"77,637","80,692","86,331",1,3.9,7.0,9
Marion,"41,242","40,825","42,902",53,-1.0,5.1,43
Marshall,"44,871","44,357","46,470",31,-1.1,4.8,49
Monroe,"44,562","43,271","44,517",44,-2.9,2.9,70
Montgomery,"42,537","41,480","42,976",52,-2.5,3.6,64
Neshoba,"45,174","46,932","47,423",28,3.9,1.0,76
Newton,"41,623","41,079","41,357",66,-1.3,0.7,78
Noxubee,"44,879","42,953","44,881",43,-4.3,4.5,53
Oktibbeha,"39,966","39,730","42,241",61,-0.6,6.3,16
Panola,"42,503","41,496","43,391",50,-2.4,4.6,52
Pearl River,"43,747","44,036","47,020",30,0.7,6.8,11
Perry,"37,992","37,339","40,688",68,-1.7,9.0,1
Pike,"38,123","37,095","39,426",74,-2.7,6.3,18
Pontotoc,"42,985","42,069","43,359",51,-2.1,3.1,67
Prentiss,"38,526","38,145","39,413",75,-1.0,3.3,65
Quitman,"42,720","42,372","44,213",47,-0.8,4.3,57
Rankin,"52,813","53,715","56,864",3,1.7,5.9,30
Scott,"38,297","38,932","39,510",72,1.7,1.5,74
Sharkey,"53,584","54,048","57,998",2,0.9,7.3,6
Simpson,"44,917","46,256","47,645",26,3.0,3.0,68
Smith,"45,339","48,639","47,687",24,7.3,-2.0,80
Stone,"39,764","40,156","42,642",58,1.0,6.2,21
Sunflower,"38,008","36,927","39,498",73,-2.8,7.0,10
Tallahatchie,"43,093","42,278","44,389",45,-1.9,5.0,46
Tate,"45,157","45,107","47,426",27,-0.1,5.1,42
Tippah,"44,606","42,729","45,880",37,-4.2,7.4,5
Tishomingo,"41,999","42,481","45,018",42,1.1,6.0,26
Tunica,"43,421","46,504","48,516",17,7.1,4.3,58
Union,"41,673","41,120","42,339",60,-1.3,3.0,69
Walthall,"38,818","38,277","38,989",76,-1.4,1.9,72
Warren,"48,887","49,499","52,095",7,1.3,5.2,41
Washington,"45,860","45,608","48,299",19,-0.5,5.9,28
Wayne,"43,106","46,037","46,161",33,6.8,0.3,79
Webster,"45,217","44,320","47,027",29,-2.0,6.1,23
Wilkinson,"37,071","35,413","38,503",79,-4.5,8.7,2
Winston,"43,700","43,721","46,075",34,0.0,5.4,39
Yalobusha,"42,995","42,201","44,057",48,-1.8,4.4,56
Yazoo,"37,577","36,682","38,819",77,-2.4,5.8,31
,,,,,,,
Missouri,"56,639","59,007","62,604",--,4.2,6.1,--
Adair,"37,815","37,520","40,269",111,-0.8,7.3,17
Andrew,"50,674","52,318","54,504",24,3.2,4.2,95
Atchison,"54,100","57,288","56,745",13,5.9,-0.9,115
Audrain,"43,893","46,286","49,114",55,5.5,6.1,54
Barry,"42,077","45,526","45,250",88,8.2,-0.6,113
Barton,"42,961","46,090","46,659",77,7.3,1.2,107
Bates,"47,653","48,714","51,168",47,2.2,5.0,78
Benton,"43,416","44,334","46,819",75,2.1,5.6,62
Bollinger,"45,253","46,372","48,705",59,2.5,5.0,79
Boone,"54,540","56,622","60,158",8,3.8,6.2,49
Buchanan,"46,759","49,206","51,741",43,5.2,5.2,72
Butler,"43,408","43,566","46,048",84,0.4,5.7,59
Caldwell,"45,439","46,313","47,876",67,1.9,3.4,98
Callaway,"45,500","47,258","50,652",50,3.9,7.2,23
Camden,"54,589","51,230","55,182",19,-6.2,7.7,13
Cape Girardeau,"48,579","50,857","54,568",23,4.7,7.3,19
Carroll,"57,121","60,960","62,919",6,6.7,3.2,100
Carter,"45,891","47,621","50,444",52,3.8,5.9,55
Cass,"54,329","56,921","59,720",10,4.8,4.9,82
Cedar,"36,670","37,298","40,183",112,1.7,7.7,12
Chariton,"52,374","52,845","55,540",17,0.9,5.1,75
Christian,"48,623","50,099","52,867",36,3.0,5.5,64
Clark,"43,978","45,222","46,719",76,2.8,3.3,99
Clay,"55,740","57,103","60,043",9,2.4,5.1,74
Clinton,"48,067","50,669","52,880",35,5.4,4.4,92
Cole,"55,033","57,521","61,479",7,4.5,6.9,32
Cooper,"49,888","51,713","54,107",27,3.7,4.6,85
Crawford,"43,778","45,423","48,462",60,3.8,6.7,37
Dade,"41,795","44,651","46,071",82,6.8,3.2,101
Dallas,"39,098","40,651","42,354",104,4.0,4.2,94
Daviess,"38,418","38,913","40,834",107,1.3,4.9,81
DeKalb,"35,861","38,175","45,223",90,6.5,18.5,1
Dent,"41,641","42,665","45,672",85,2.5,7.0,24
Douglas,"38,086","38,009","39,205",113,-0.2,3.1,102
Dunklin,"43,924","44,713","46,434",80,1.8,3.8,96
Franklin,"52,261","53,883","57,522",11,3.1,6.8,36
Gasconade,"46,315","47,736","51,240",46,3.1,7.3,16
Gentry,"51,175","49,365","52,620",39,-3.5,6.6,39
Greene,"51,270","53,029","56,350",15,3.4,6.3,47
Grundy,"41,357","41,625","44,052",97,0.6,5.8,56
Harrison,"43,860","44,413","46,633",78,1.3,5.0,80
Henry,"48,660","49,923","53,157",31,2.6,6.5,43
Hickory,"39,540","39,952","43,094",103,1.0,7.9,10
Holt,"58,289","63,136","63,237",5,8.3,0.2,111
Howard,"48,210","50,084","52,740",38,3.9,5.3,70
Howell,"40,479","41,548","44,649",95,2.6,7.5,15
Iron,"41,100","42,167","45,057",92,2.6,6.9,33
Jackson,"52,496","54,527","57,518",12,3.9,5.5,65
Jasper,"43,630","45,253","47,246",71,3.7,4.4,91
Jefferson,"49,916","52,016","55,195",18,4.2,6.1,53
Johnson,"46,838","44,505","46,540",79,-5.0,4.6,87
Knox,"44,274","45,633","49,243",54,3.1,7.9,9
Laclede,"42,677","45,468","48,249",64,6.5,6.1,52
Lafayette,"49,783","51,912","54,277",25,4.3,4.6,88
Lawrence,"40,155","41,026","41,827",105,2.2,2.0,105
Lewis,"41,338","43,180","45,237",89,4.5,4.8,84
Lincoln,"48,594","49,973","53,300",29,2.8,6.7,38
Linn,"45,745","46,399","49,005",56,1.4,5.6,61
Livingston,"48,193","49,702","51,058",48,3.1,2.7,103
McDonald,"35,417","39,050","38,681",115,10.3,-0.9,114
Macon,"48,171","53,738","54,255",26,11.6,1.0,108
Madison,"41,017","42,468","45,426",87,3.5,7.0,30
Maries,"41,417","41,866","45,031",94,1.1,7.6,14
Marion,"47,964","49,833","52,951",34,3.9,6.3,48
Mercer,"40,303","39,163","41,562",106,-2.8,6.1,51
Miller,"43,911","44,018","47,083",74,0.2,7.0,31
Mississippi,"41,728","42,838","43,102",102,2.7,0.6,109
Moniteau,"45,724","49,421","51,834",41,8.1,4.9,83
Monroe,"48,362","50,311","56,061",16,4.0,11.4,2
Montgomery,"49,816","51,075","54,811",22,2.5,7.3,18
Morgan,"46,549","48,267","48,877",57,3.7,1.3,106
New Madrid,"49,626","52,622","52,752",37,6.0,0.2,110
Newton,"45,181","47,177","48,357",62,4.4,2.5,104
Nodaway,"40,139","42,191","44,338",96,5.1,5.1,76
Oregon,"43,484","44,052","47,150",73,1.3,7.0,26
Osage,"52,448","53,863","56,696",14,2.7,5.3,71
Ozark,"39,995","40,904","43,767",101,2.3,7.0,27
Pemiscot,"46,541","47,653","49,792",53,2.4,4.5,89
Perry,"48,502","49,887","53,134",32,2.9,6.5,40
Pettis,"43,794","45,600","47,237",72,4.1,3.6,97
Phelps,"44,020","45,095","48,382",61,2.4,7.3,20
Pike,"41,451","42,720","45,058",91,3.1,5.5,66
Platte,"66,120","69,055","73,531",2,4.4,6.5,42
Polk,"41,753","43,561","46,061",83,4.3,5.7,58
Pulaski,"45,207","44,535","48,289",63,-1.5,8.4,7
Putnam,"43,984","43,584","47,948",66,-0.9,10.0,4
Ralls,"47,147","48,358","52,110",40,2.6,7.8,11
Randolph,"48,288","51,776","55,106",20,7.2,6.4,44
Ray,"48,197","49,355","51,625",45,2.4,4.6,86
Reynolds,"41,637","41,157","43,956",98,-1.2,6.8,34
Ripley,"45,296","45,650","48,138",65,0.8,5.5,67
St. Charles,"62,674","65,108","69,693",3,3.9,7.0,25
St. Clair,"37,251","37,406","40,376",109,0.4,7.9,8
Ste. Genevieve,"47,157","47,800","50,899",49,1.4,6.5,41
St. Francois,"41,360","42,680","45,576",86,3.2,6.8,35
St. Louis,"88,954","94,292","101,151",1,6.0,7.3,21
Saline,"45,367","48,975","51,636",44,8.0,5.4,68
Schuyler,"40,585","42,034","45,054",93,3.6,7.2,22
Scotland,"48,157","51,649","53,928",28,7.3,4.4,90
Scott,"49,005","50,619","53,227",30,3.3,5.2,73
Shannon,"41,557","41,031","43,901",99,-1.3,7.0,28
Shelby,"49,346","50,276","52,995",33,1.9,5.4,69
Stoddard,"45,891","47,729","47,497",70,4.0,-0.5,112
Stone,"47,324","49,050","51,791",42,3.6,5.6,63
Sullivan,"46,998","45,656","50,451",51,-2.9,10.5,3
Taney,"44,646","45,972","48,862",58,3.0,6.3,46
Texas,"36,802","36,954","39,031",114,0.4,5.6,60
Vernon,"43,230","44,795","47,572",68,3.6,6.2,50
Warren,"50,116","51,471","55,061",21,2.7,7.0,29
Washington,"37,593","38,108","40,328",110,1.4,5.8,57
Wayne,"41,987","42,497","46,365",81,1.2,9.1,6
Webster,"41,464","42,105","43,890",100,1.5,4.2,93
Worth,"42,972","43,284","47,533",69,0.7,9.8,5
Wright,"39,042","38,855","40,817",108,-0.5,5.0,77
St. Louis City,"54,876","59,502","63,316",4,8.4,6.4,45
,,,,,,,
Montana,"58,981","61,567","64,989",--,4.4,5.6,--
Beaverhead,"57,932","58,552","59,595",22,1.1,1.8,41
Big Horn,"36,510","38,423","39,605",54,5.2,3.1,34
Blaine,"33,635","38,168","38,079",56,13.5,-0.2,47
Broadwater,"50,853","52,070","55,371",32,2.4,6.3,10
Carbon,"64,711","64,355","68,244",9,-0.6,6.0,14
Carter,"39,929","45,141","44,997",53,13.1,-0.3,48
Cascade,"54,912","57,157","60,126",19,4.1,5.2,25
Chouteau,"42,004","55,247","56,448",27,31.5,2.2,38
Custer,"50,230","53,754","55,578",31,7.0,3.4,32
Daniels,"58,569","65,226","60,973",16,11.4,-6.5,56
Dawson,"48,702","51,309","53,091",38,5.4,3.5,30
Deer Lodge,"47,097","48,445","51,110",41,2.9,5.5,20
Fallon,"50,114","51,311","55,859",29,2.4,8.9,2
Fergus,"48,829","53,498","54,647",35,9.6,2.1,39
Flathead,"61,756","64,741","68,725",6,4.8,6.2,12
Gallatin,"75,588","81,730","87,254",1,8.1,6.8,8
Garfield,"37,187","51,132","48,179",46,37.5,-5.8,54
Glacier,"41,377","46,121","48,573",44,11.5,5.3,22
Golden Valley,"65,937","55,179","55,872",28,-16.3,1.3,44
Granite,"60,334","51,625","53,768",36,-14.4,4.2,29
Hill,"51,902","54,008","55,344",33,4.1,2.5,35
Jefferson,"59,175","60,131","63,881",13,1.6,6.2,11
Judith Basin,"47,010","59,569","58,342",24,26.7,-2.1,49
Lake,"47,694","47,042","49,027",43,-1.4,4.2,28
Lewis and Clark,"58,546","58,761","62,214",15,0.4,5.9,15
Liberty,"56,542","70,479","71,171",4,24.6,1.0,45
Lincoln,"45,228","45,503","47,487",47,0.6,4.4,27
McCone,"53,085","54,503","51,063",42,2.7,-6.3,55
Madison,"79,432","71,146","75,313",2,-10.4,5.9,16
Meagher,"48,630","54,342","57,679",26,11.7,6.1,13
Mineral,"46,922","44,682","48,250",45,-4.8,8.0,3
Missoula,"62,167","64,137","68,344",8,3.2,6.6,9
Musselshell,"49,717","49,089","51,852",40,-1.3,5.6,18
Park,"60,813","62,235","67,131",10,2.3,7.9,4
Petroleum,"32,687","40,390","38,300",55,23.6,-5.2,53
Phillips,"43,680","46,718","45,314",51,7.0,-3.0,51
Pondera,"53,858","61,932","65,512",11,15.0,5.8,17
Powder River,"38,839","45,456","46,200",48,17.0,1.6,42
Powell,"52,486","48,894","53,396",37,-6.8,9.2,1
Prairie,"50,290","56,437","58,179",25,12.2,3.1,33
Ravalli,"58,216","59,100","63,195",14,1.5,6.9,5
Richland,"61,655","67,772","72,410",3,9.9,6.8,6
Roosevelt,"43,066","44,535","45,113",52,3.4,1.3,43
Rosebud,"53,515","53,894","55,754",30,0.7,3.5,31
Sanders,"44,674","43,221","45,599",49,-3.3,5.5,19
Sheridan,"56,366","54,043","55,175",34,-4.1,2.1,40
Silver Bow,"55,074","57,274","60,001",21,4.0,4.8,26
Stillwater,"68,217","65,161","68,586",7,-4.5,5.3,23
Sweet Grass,"58,041","57,062","60,941",17,-1.7,6.8,7
Teton,"52,564","59,409","60,745",18,13.0,2.2,36
Toole,"52,180","61,400","64,617",12,17.7,5.2,24
Treasure,"47,684","57,462","58,733",23,20.5,2.2,37
Valley,"59,376","61,501","60,061",20,3.6,-2.3,50
Wheatland,"49,099","51,890","52,079",39,5.7,0.4,46
Wibaux,"49,799","47,503","45,322",50,-4.6,-4.6,52
Yellowstone,"61,660","65,402","68,959",5,6.1,5.4,21
,,,,,,,
Nebraska,"63,526","67,065","71,347",--,5.6,6.4,--
Adams,"59,338","63,874","68,330",46,7.6,7.0,60
Antelope,"77,614","70,785","76,372",20,-8.8,7.9,48
Arthur,"58,537","54,134","70,075",42,-7.5,29.4,3
Banner,"74,345","72,043","75,754",24,-3.1,5.2,78
Blaine,"64,219","58,573","78,261",19,-8.8,33.6,2
Boone,"76,722","66,550","79,710",16,-13.3,19.8,9
Box Butte,"57,048","57,286","58,744",84,0.4,2.5,87
Boyd,"80,656","81,951","81,977",10,1.6,0.0,91
Brown,"68,818","61,796","71,794",34,-10.2,16.2,14
Buffalo,"77,285","69,143","74,630",26,-10.5,7.9,46
Burt,"59,166","55,714","60,531",79,-5.8,8.6,40
Butler,"63,632","66,994","71,971",33,5.3,7.4,55
Cass,"63,164","64,081","67,310",50,1.5,5.0,79
Cedar,"68,846","65,429","71,135",37,-5.0,8.7,39
Chase,"76,003","75,661","80,528",13,-0.4,6.4,65
Cherry,"57,962","57,297","66,828",52,-1.1,16.6,13
Cheyenne,"54,397","51,959","53,195",90,-4.5,2.4,88
Clay,"69,130","64,258","69,182",43,-7.0,7.7,50
Colfax,"58,643","57,914","61,048",77,-1.2,5.4,72
Cuming,"78,937","76,417","87,392",7,-3.2,14.4,18
Custer,"62,472","59,378","65,823",61,-5.0,10.9,30
Dakota,"50,057","59,792","62,463",70,19.4,4.5,84
Dawes,"48,295","46,200","50,264",91,-4.3,8.8,38
Dawson,"53,573","52,615","54,945",88,-1.8,4.4,85
Deuel,"48,833","48,214","48,095",92,-1.3,-0.2,92
Dixon,"58,838","58,686","62,851",68,-0.3,7.1,58
Dodge,"57,095","62,279","65,594",62,9.1,5.3,74
Douglas,"69,875","77,500","81,570",12,10.9,5.3,76
Dundy,"93,511","99,049","107,381",2,5.9,8.4,43
Fillmore,"71,093","75,863","82,547",9,6.7,8.8,37
Franklin,"75,557","61,854","68,950",44,-18.1,11.5,27
Frontier,"58,865","61,050","66,000",59,3.7,8.1,45
Furnas,"63,895","64,037","70,215",41,0.2,9.6,33
Gage,"61,357","75,876","80,101",14,23.7,5.6,71
Garden,"56,396","58,003","62,438",71,2.8,7.6,51
Garfield,"55,165","51,875","60,193",80,-6.0,16.0,15
Gosper,"70,065","68,979","74,113",28,-1.5,7.4,54
Grant,"59,099","49,990","61,745",75,-15.4,23.5,5
Greeley,"72,130","66,436","75,828",23,-7.9,14.1,19
Hall,"53,265","56,266","59,802",82,5.6,6.3,67
Hamilton,"68,327","68,681","73,733",30,0.5,7.4,56
Harlan,"68,998","65,915","74,351",27,-4.5,12.8,22
Hayes,"93,572","87,978","89,965",6,-6.0,2.3,89
Hitchcock,"62,761","64,802","67,709",48,3.3,4.5,83
Holt,"69,204","64,656","70,612",39,-6.6,9.2,34
Hooker,"46,893","47,330","53,697",89,0.9,13.5,20
Howard,"58,165","57,267","62,103",73,-1.5,8.4,42
Jefferson,"59,811","58,160","63,034",67,-2.8,8.4,44
Johnson,"45,002","45,805","48,024",93,1.8,4.8,80
Kearney,"73,058","82,319","94,356",3,12.7,14.6,17
Keith,"55,895","56,076","60,135",81,0.3,7.2,57
Keya Paha,"67,641","62,424","66,245",57,-7.7,6.1,69
Kimball,"56,330","61,922","65,186",64,9.9,5.3,75
Knox,"60,279","63,038","66,048",58,4.6,4.8,81
Lancaster,"59,355","62,292","66,280",56,4.9,6.4,66
Lincoln,"62,071","66,947","72,970",31,7.9,9.0,35
Logan,"58,653","57,815","71,302",36,-1.4,23.3,6
Loup,"65,245","59,454","76,269",21,-8.9,28.3,4
McPherson,"68,945","63,026","86,039",8,-8.6,36.5,1
Madison,"61,053","63,945","67,240",51,4.7,5.2,77
Merrick,"58,569","60,076","64,821",65,2.6,7.9,47
Morrill,"71,313","70,562","78,663",18,-1.1,11.5,26
Nance,"55,849","51,705","61,894",74,-7.4,19.7,10
Nemaha,"59,043","57,847","59,432",83,-2.0,2.7,86
Nuckolls,"70,088","66,586","79,865",15,-5.0,19.9,8
Otoe,"60,962","59,145","62,848",69,-3.0,6.3,68
Pawnee,"61,434","58,387","63,343",66,-5.0,8.5,41
Perkins,"92,904","101,933","90,815",5,9.7,-10.9,93
Phelps,"67,363","63,458","70,667",38,-5.8,11.4,28
Pierce,"75,674","104,027","117,544",1,37.5,13.0,21
Platte,"57,667","58,255","62,340",72,1.0,7.0,59
Polk,"69,824","69,101","76,182",22,-1.0,10.2,31
Red Willow,"55,636","56,412","60,705",78,1.4,7.6,52
Richardson,"60,870","58,681","61,331",76,-3.6,4.5,82
Rock,"79,914","78,707","94,000",4,-1.5,19.4,11
Saline,"52,424","52,332","56,359",87,-0.2,7.7,49
Sarpy,"60,033","63,216","66,625",55,5.3,5.4,73
Saunders,"64,855","67,187","71,628",35,3.6,6.6,64
Scotts Bluff,"52,453","53,346","57,327",86,1.7,7.5,53
Seward,"61,217","63,745","68,090",47,4.1,6.8,63
Sheridan,"65,331","64,629","70,339",40,-1.1,8.8,36
Sherman,"60,792","58,401","65,396",63,-3.9,12.0,25
Sioux,"74,715","71,168","81,581",11,-4.7,14.6,16
Stanton,"61,751","60,729","66,754",53,-1.7,9.9,32
Thayer,"69,960","64,906","71,989",32,-7.2,10.9,29
Thomas,"63,222","66,432","66,656",54,5.1,0.3,90
Thurston,"57,645","57,441","67,487",49,-0.4,17.5,12
Valley,"66,355","67,364","75,469",25,1.5,12.0,24
Washington,"68,981","69,904","74,042",29,1.3,5.9,70
Wayne,"52,492","54,433","58,154",85,3.7,6.8,62
Webster,"59,798","58,850","65,987",60,-1.6,12.1,23
Wheeler,"72,573","64,134","78,826",17,-11.6,22.9,7
York,"61,303","64,303","68,781",45,4.9,7.0,61
,,,,,,,
Nevada,"60,805","62,467","66,238",--,2.7,6.0,--
Churchill,"55,300","54,520","56,685",11,-1.4,4.0,10
Clark,"58,224","60,083","63,767",5,3.2,6.1,4
Douglas,"94,065","94,710","100,931",1,0.7,6.6,2
Elko,"53,838","54,868","56,996",10,1.9,3.9,12
Esmeralda,"66,901","61,482","59,971",8,-8.1,-2.5,16
Eureka,"49,261","53,904","49,792",14,9.4,-7.6,17
Humboldt,"54,032","55,845","58,033",9,3.4,3.9,11
Lander,"73,626","76,744","77,150",4,4.2,0.5,14
Lincoln,"53,186","50,437","49,718",15,-5.2,-1.4,15
Lyon,"46,779","48,096","50,379",12,2.8,4.7,8
Mineral,"48,789","47,981","50,305",13,-1.7,4.8,7
Nye,"42,989","42,248","44,626",16,-1.7,5.6,6
Pershing,"41,912","41,574","42,673",17,-0.8,2.6,13
Storey,"78,353","76,634","79,728",3,-2.2,4.0,9
Washoe,"74,732","76,485","81,371",2,2.3,6.4,3
White Pine,"59,235","58,747","63,243",7,-0.8,7.7,1
