,County,Income,State
501,McDuffie,44291,Georgia
502,McIntosh,50929,Georgia
503,Macon,41839,Georgia
504,Madison,46890,Georgia
505,Marion,39386,Georgia
506,Meriwether,46981,Georgia
507,Miller,52904,Georgia
508,Mitchell,44877,Georgia
509,Monroe,56136,Georgia
510,Montgomery,37828,Georgia
511,Morgan,63507,Georgia
512,Murray,38846,Georgia
513,Muscogee,51442,Georgia
514,Newton,43952,Georgia
515,Oconee,87461,Georgia
516,Oglethorpe,47014,Georgia
517,Paulding,50181,Georgia
518,Peach,46062,Georgia
519,Pickens,63367,Georgia
520,Pierce,42832,Georgia
521,Pike,52786,Georgia
522,Polk,41831,Georgia
523,Pulaski,41152,Georgia
524,Putnam,58653,Georgia
525,Quitman,39745,Georgia
526,Rabun,54148,Georgia
527,Randolph,45285,Georgia
528,Richmond,45441,Georgia
529,Rockdale,43568,Georgia
530,Schley,45658,Georgia
531,Screven,42295,Georgia
532,Seminole,47396,Georgia
533,Spalding,44742,Georgia
534,Stephens,46093,Georgia
535,Stewart,36853,Georgia
536,Sumter,45394,Georgia
537,Talbot,49053,Georgia
538,Taliaferro,41595,Georgia
539,Tattnall,35381,Georgia
540,Taylor,42058,Georgia
541,Telfair,34086,Georgia
542,Terrell,48546,Georgia
543,Thomas,57135,Georgia
544,Tift,48399,Georgia
545,Toombs,44036,Georgia
546,Towns,51955,Georgia
547,Treutlen,41701,Georgia
548,Troup,47658,Georgia
549,Turner,39005,Georgia
550,Twiggs,45169,Georgia
551,Union,47853,Georgia
552,Upson,43541,Georgia
553,Walker,44195,Georgia
554,Walton,53871,Georgia
555,Ware,39743,Georgia
556,Warren,42403,Georgia
558,Wayne,39274,Washington
559,Webster,43964,Washington
560,Wheeler,24588,Washington
561,White,50043,Washington
562,Whitfield,47955,Washington
563,Wilcox,32581,Washington
564,Wilkes,51478,Washington
565,Wilkinson,43443,Washington
566,Worth,42753,Washington
570,Honolulu,69893,Hawaii
571,Kauai,61257,Hawaii
572,Maui + Kalawao,62816,Hawaii
575,Ada,72588,Idaho
576,Adams,45707,Idaho
577,Bannock,50084,Idaho
578,Bear Lake,49045,Idaho
579,Benewah,45633,Idaho
580,Bingham,48780,Idaho
581,Blaine,187239,Idaho
582,Boise,54614,Idaho
583,Bonner,55464,Idaho
584,Bonneville,60032,Idaho
585,Boundary,47225,Idaho
586,Butte,51958,Idaho
587,Camas,60737,Idaho
588,Canyon,47903,Idaho
589,Caribou,50947,Idaho
590,Cassia,54685,Idaho
591,Clark,44385,Idaho
592,Clearwater,43947,Idaho
593,Custer,52420,Idaho
594,Elmore,46255,Idaho
595,Franklin,45872,Idaho
596,Fremont (includes Yellowstone National Park),47011,Idaho
597,Gem,47755,Idaho
598,Gooding,63424,Idaho
600,Jefferson,48137,Idaho
601,Jerome,46359,Idaho
602,Kootenai,63893,Idaho
603,Latah,54794,Idaho
604,Lemhi,53841,Idaho
605,Lewis,54650,Idaho
606,Lincoln,46300,Idaho
607,Madison,29168,Idaho
608,Minidoka,49862,Idaho
609,Nez Perce,56586,Idaho
610,Oneida,49108,Idaho
611,Owyhee,48928,Idaho
612,Payette,49505,Idaho
613,Power,46316,Idaho
614,Shoshone,45440,Idaho
615,Teton,69601,Idaho
616,Twin Falls,52087,Idaho
617,Valley,66382,Idaho
621,Adams,59776,Illinois
622,Alexander,52117,Illinois
623,Bond,47531,Illinois
624,Boone,57922,Illinois
625,Brown,48654,Illinois
626,Bureau,53797,Illinois
627,Calhoun,58359,Illinois
628,Carroll,52391,Illinois
629,Cass,52006,Illinois
630,Champaign,58838,Illinois
631,Christian,52047,Illinois
632,Clark,53733,Illinois
633,Clay,52329,Illinois
634,Clinton,63612,Illinois
635,Coles,55509,Illinois
636,Cook,77937,Illinois
637,Crawford,60780,Illinois
638,Cumberland,97381,Illinois
639,DeKalb,53309,Illinois
640,De Witt,58783,Illinois
641,Douglas,71677,Illinois
642,DuPage,95811,Illinois
643,Edgar,57659,Illinois
644,Edwards,51839,Illinois
645,Effingham,67028,Illinois
646,Fayette,46554,Illinois
647,Ford,71035,Illinois
648,Franklin,48167,Illinois
649,Fulton,50832,Illinois
650,Gallatin,57607,Illinois
651,Greene,53257,Illinois
652,Grundy,61898,Illinois
653,Hamilton,55005,Illinois
654,Hancock,58593,Illinois
655,Hardin,55331,Illinois
656,Henderson,56375,Illinois
657,Henry,58648,Illinois
658,Iroquois,57912,Illinois
659,Jackson,49775,Illinois
660,Jasper,56458,Illinois
661,Jefferson,49840,Illinois
662,Jersey,55010,Illinois
663,Jo Daviess,59940,Illinois
664,Johnson,41389,Illinois
665,Kane,67922,Illinois
666,Kankakee,53698,Illinois
667,Kendall,61717,Illinois
668,Knox,49682,Illinois
669,Lake,99895,Illinois
670,LaSalle,56311,Illinois
671,Lawrence,41696,Illinois
672,Lee,53618,Illinois
673,Livingston,57597,Illinois
674,Logan,49419,Illinois
675,McDonough,50246,Illinois
676,McHenry,69641,Illinois
677,McLean,61174,Illinois
678,Macon,60030,Illinois
679,Macoupin,54510,Illinois
680,Madison,60115,Illinois
681,Marion,53678,Illinois
682,Marshall,58048,Illinois
683,Mason,57624,Illinois
684,Massac,48903,Illinois
685,Menard,59630,Illinois
686,Mercer,59739,Illinois
687,Monroe,74760,Illinois
688,Montgomery,45501,Illinois
689,Morgan,52865,Illinois
690,Moultrie,85579,Illinois
691,Ogle,57128,Illinois
692,Peoria,62066,Illinois
693,Perry,47556,Illinois
694,Piatt,70047,Illinois
695,Pike,56213,Illinois
696,Pope,40154,Illinois
697,Pulaski,47344,Illinois
698,Putnam,70122,Illinois
699,Randolph,48860,Illinois
700,Richland,52848,Illinois
701,Rock Island,52525,Illinois
702,St. Clair,59412,Illinois
703,Saline,51956,Illinois
704,Sangamon,60497,Illinois
705,Schuyler,53470,Illinois
706,Scott,56623,Illinois
707,Shelby,54393,Illinois
708,Stark,62669,Illinois
709,Stephenson,54743,Illinois
710,Tazewell,60555,Illinois
711,Union,51681,Illinois
712,Vermilion,51471,Illinois
713,Wabash,53847,Illinois
714,Warren,56656,Illinois
716,Wayne,50793,Washington
717,White,61640,Washington
718,Whiteside,54875,Washington
719,Will,68225,Washington
720,Williamson,55757,Washington
721,Winnebago,53553,Washington
722,Woodford,66670,Washington
725,Adams,50881,Indiana
726,Allen,60607,Indiana
727,Bartholomew,65564,Indiana
728,Benton,56092,Indiana
729,Blackford,46989,Indiana
730,Boone,97028,Indiana
731,Brown,61898,Indiana
732,Carroll,53144,Indiana
733,Cass,49257,Indiana
734,Clark,56729,Indiana
735,Clay,47328,Indiana
736,Clinton,48728,Indiana
737,Crawford,44174,Indiana
738,Daviess,59193,Indiana
739,Dearborn,60731,Indiana
740,Decatur,55366,Indiana
741,DeKalb,56870,Indiana
743,Dubois,68645,Delaware
744,Elkhart,58662,Delaware
745,Fayette,50175,Delaware
746,Floyd,66690,Delaware
747,Fountain,53298,Delaware
748,Franklin,57550,Delaware
749,Fulton,52342,Delaware
750,Gibson,58378,Delaware
751,Grant,49748,Delaware
752,Greene,52586,Delaware
