,State,County,Median AQI,Income
614,Tennessee,Madison,43,55537
615,Tennessee,Maury,36,57191
616,Tennessee,McMinn,39,45629
617,Tennessee,Montgomery,36,52478
618,Tennessee,Putnam,38,51132
619,Tennessee,Roane,36,53353
620,Tennessee,Sevier,45,57533
621,Tennessee,Shelby,52,61979
622,Tennessee,Sullivan,42,54453
623,Tennessee,Sumner,45,67865
624,Texas,Atascosa,42,48387
625,Texas,Bell,44,51898
626,Texas,Bexar,52,57096
627,Texas,Bowie,53,51132
628,Texas,Brazoria,36,60088
629,Texas,Brazos,39,50236
630,Texas,Brewster,43,58475
631,Texas,Cameron,54,38523
632,Texas,Collin,41,86860
633,Utah,Box Elder,38,50990
634,Utah,Cache,48,50603
635,Utah,Carbon,42,49335
636,Utah,Davis,47,62449
637,Utah,Duchesne,51,51352
638,Utah,Garfield,10,53930
639,Utah,Grand,49,77028
640,Utah,Iron,42,42301
641,Utah,Salt Lake,54,71787
642,Utah,San Juan,45,38753
643,Utah,Tooele,45,50274
644,Utah,Uintah,50,41619
645,Utah,Utah,48,57619
646,Vermont,Bennington,38,65638
647,Vermont,Chittenden,42,76222
648,Vermont,Rutland,38,61702
649,Virginia,Arlington,38,124345
650,Virginia,Caroline,40,54299
651,Virginia,Chesterfield,41,66800
652,Virginia,Fauquier,39,86886
653,Virginia,Giles,39,53100
654,Virginia,Hanover,40,77005
655,Virginia,Henrico,46,77783
656,Virginia,Loudoun,39,102229
657,Virginia,Madison,42,60259
658,Virginia,Prince Edward,34,42333
659,Virginia,Roanoke,43,56075
660,Virginia,Stafford,37,68098
661,Virginia,Wythe,40,47343
662,Washington,Adams,21,52466
663,Washington,Asotin,49,57199
664,Washington,Benton,41,56969
665,Washington,Chelan,34,68356
666,Washington,Clallam,37,60321
667,Washington,Clark,35,69318
668,Washington,Columbia,39,62070
669,Washington,Cowlitz,22,57947
670,Washington,Franklin,26,48029
671,Washington,Garfield,17,57405
672,Washington,Grant,32,49727
673,Washington,Grays Harbor,23,49968
674,Washington,Jefferson,21,68457
675,Washington,King,46,122235
676,Washington,Kitsap,22,73841
677,Washington,Kittitas,29,60053
678,Washington,Klickitat,20,57126
679,Washington,Lewis,25,59759
680,Washington,Mason,24,54701
681,Washington,Okanogan,49,52446
682,Washington,Pacific,20,50282
683,Washington,Pierce,42,65188
684,Washington,Skagit,30,67173
685,Washington,Snohomish,38,75320
686,Washington,Spokane,42,58630
687,Washington,Stevens,46,49484
688,Washington,Thurston,28,65892
689,Washington,Walla Walla,28,56420
690,Washington,Whatcom,31,62095
691,Washington,Whitman,26,48522
692,Washington,Yakima,46,51488
693,West Virginia,Berkeley,44,54940
694,West Virginia,Brooke,19,53325
695,West Virginia,Cabell,44,54209
696,West Virginia,Greenbrier,38,50142
697,West Virginia,Hancock,36,53854
698,West Virginia,Harrison,39,63351
699,West Virginia,Kanawha,42,61400
700,West Virginia,Marion,39,51911
701,West Virginia,Marshall,52,51767
702,West Virginia,Monongalia,42,58418
703,Wisconsin,Ashland,40,49350
704,Wisconsin,Brown,44,65199
705,Wisconsin,Columbia,44,67169
706,Wisconsin,Dane,50,77996
707,Wisconsin,Dodge,46,55856
708,Wisconsin,Door,41,78073
709,Wisconsin,Eau Claire,46,60575
