,County,Income,State
534,Warren,"42,403",Georgia
535,Washington,"43,518",Washington
536,Wayne,"39,274",Washington
537,Webster,"43,964",Washington
538,Wheeler,"24,588",Washington
539,White,"50,043",Washington
540,Whitfield,"47,955",Washington
541,Wilcox,"32,581",Washington
542,Wilkes,"51,478",Washington
543,Wilkinson,"43,443",Washington
544,Worth,"42,753",Washington
545,Hawaii,"52,866",Hawaii
546,Honolulu,"69,893",Hawaii
547,Kauai,"61,257",Hawaii
548,Maui + Kalawao,"62,816",Hawaii
549,Ada,"72,588",Idaho
550,Adams,"45,707",Idaho
551,Bannock,"50,084",Idaho
552,Bear Lake,"49,045",Idaho
553,Benewah,"45,633",Idaho
554,Bingham,"48,780",Idaho
555,Blaine,"187,239",Idaho
556,Boise,"54,614",Idaho
557,Bonner,"55,464",Idaho
558,Bonneville,"60,032",Idaho
559,Boundary,"47,225",Idaho
560,Butte,"51,958",Idaho
561,Camas,"60,737",Idaho
562,Canyon,"47,903",Idaho
563,Caribou,"50,947",Idaho
564,Cassia,"54,685",Idaho
565,Clark,"44,385",Idaho
566,Clearwater,"43,947",Idaho
567,Custer,"52,420",Idaho
568,Elmore,"46,255",Idaho
569,Franklin,"45,872",Idaho
570,Fremont (includes Yellowstone National Park),"47,011",Idaho
571,Gem,"47,755",Idaho
572,Gooding,"63,424",Idaho
573,Idaho,"45,574",Idaho
574,Jefferson,"48,137",Idaho
575,Jerome,"46,359",Idaho
576,Kootenai,"63,893",Idaho
577,Latah,"54,794",Idaho
578,Lemhi,"53,841",Idaho
579,Lewis,"54,650",Idaho
580,Lincoln,"46,300",Idaho
581,Madison,"29,168",Idaho
582,Minidoka,"49,862",Idaho
583,Nez Perce,"56,586",Idaho
584,Oneida,"49,108",Idaho
585,Owyhee,"48,928",Idaho
586,Payette,"49,505",Idaho
587,Power,"46,316",Idaho
588,Shoshone,"45,440",Idaho
589,Teton,"69,601",Idaho
590,Twin Falls,"52,087",Idaho
591,Valley,"66,382",Idaho
592,Washington,"44,134",Washington
593,Adams,"59,776",Illinois
594,Alexander,"52,117",Illinois
595,Bond,"47,531",Illinois
596,Boone,"57,922",Illinois
597,Brown,"48,654",Illinois
598,Bureau,"53,797",Illinois
599,Calhoun,"58,359",Illinois
600,Carroll,"52,391",Illinois
601,Cass,"52,006",Illinois
602,Champaign,"58,838",Illinois
603,Christian,"52,047",Illinois
604,Clark,"53,733",Illinois
605,Clay,"52,329",Illinois
606,Clinton,"63,612",Illinois
607,Coles,"55,509",Illinois
608,Cook,"77,937",Illinois
609,Crawford,"60,780",Illinois
610,Cumberland,"97,381",Illinois
611,DeKalb,"53,309",Illinois
612,De Witt,"58,783",Illinois
613,Douglas,"71,677",Illinois
614,DuPage,"95,811",Illinois
615,Edgar,"57,659",Illinois
616,Edwards,"51,839",Illinois
617,Effingham,"67,028",Illinois
618,Fayette,"46,554",Illinois
619,Ford,"71,035",Illinois
620,Franklin,"48,167",Illinois
621,Fulton,"50,832",Illinois
622,Gallatin,"57,607",Illinois
623,Greene,"53,257",Illinois
624,Grundy,"61,898",Illinois
625,Hamilton,"55,005",Illinois
626,Hancock,"58,593",Illinois
627,Hardin,"55,331",Illinois
628,Henderson,"56,375",Illinois
629,Henry,"58,648",Illinois
630,Iroquois,"57,912",Illinois
631,Jackson,"49,775",Illinois
632,Jasper,"56,458",Illinois
633,Jefferson,"49,840",Illinois
634,Jersey,"55,010",Illinois
635,Jo Daviess,"59,940",Illinois
636,Johnson,"41,389",Illinois
637,Kane,"67,922",Illinois
638,Kankakee,"53,698",Illinois
639,Kendall,"61,717",Illinois
640,Knox,"49,682",Illinois
641,Lake,"99,895",Illinois
642,LaSalle,"56,311",Illinois
643,Lawrence,"41,696",Illinois
644,Lee,"53,618",Illinois
645,Livingston,"57,597",Illinois
646,Logan,"49,419",Illinois
647,McDonough,"50,246",Illinois
648,McHenry,"69,641",Illinois
